Παραστατικό;Σειρά;Ημερομηνία;Λήξη;Πελάτης;ΑΦΜ;Τρόπος πληρωμής;Περιγραφή;Ποσότητα;Τιμή;Έκπτωση;ΦΠΑ;Κωδικός;Σημειώσεις
4468;ΤΠΥ;31/08/2025;31/08/2025;HTB Ε Ε;EL802330000;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
4464;ΤΠΥ;27/08/2025;27/08/2025;HTB Ε Ε;EL802330000;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
4469;ΤΠΥ;01/08/2025;01/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΔΙΑΘΕΣΗ ΔΙΑΦΗΜΙΣΤΙΚΟΥ ΧΩΡΟΥ Η ΧΡΟΝΟΥ ΣΤΟ ΔΙΑΔΙΚΤΥΟ;1;500;0;24;;
4470;ΤΠΥ;02/08/2025;02/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
4471;ΤΠΥ;03/08/2025;03/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
4472;ΤΠΥ;03/08/2025;03/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
4473;ΤΠΥ;04/08/2025;04/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΙΣΤΟΦΙΛΟΞΕΝΙΑΣ (WEB HOSTING);1;500;0;24;;
4474;ΤΠΥ;04/08/2025;04/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΓΡΑΦΙΣΤΑ ΔΙΑΦΗΜΙΣΕΩΝ;1;500;0;24;;
4475;ΤΠΥ;05/08/2025;05/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΤΕΧΝΙΚΗ ΥΠΟΣΤΗΡΙΞΗ;1;500;0;24;;
4476;ΤΠΥ;06/08/2025;06/08/2025;ΔΟΜΟΤΕΧΝΗΜΑ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ;EL801637489;Τράπεζα;ΥΠΗΡΕΣΙΕΣ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ ΤΕΧΝΟΛΟΓΙΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ;1;500;0;24;;
